flight_id,flight_type,flight_from,flight_from_airport,flight_to,flight_to_airport
RYR9431,B738,Ciampino (Giovan Battista Pastine),LIRA,Dublin Int'l,EIDW
RYR9887,B738,Alicante,LEAL,Liverpool John Lennon,EGGP
RYR9962,B738,Sofia Airport,LBSF,London Stansted,EGSS
RYR4966,B738,London Stansted,EGSS,Lamezia Terme Int'l,LICA
RYR5007,B738,Václav Havel Airport,LKPR,Malaga,LEMG
RYR5202,B738,Berlin,EDDB,San Pablo,LEZL
RYR5561,B738,Nantes Atlantique,LFRS,Valencia,LEVC
RYR5711,B738,Naples Int'l (Capodichino),LIRN,Barcelona Int'l,LEBL
RYR632,B738,Dublin Int'l,EIDW,Copenhagen,EKCH
RYR6391,B738,Girona-Costa Brava,LEGE,Weeze,EDLV
RYR63GY,B738,Barcelona Int'l,LEBL,None,None
RYR6457,B738,Ibiza,LEIB,Brussels South Charleroi,EBCI
RYR656,B738,Malaga,LEMG,Glasgow Prestwick Int'l,EGPK
RYR69,B738,Kaunas Int'l,EYKA,None,None
RYR7062,B738,Dublin Int'l,EIDW,Alicante,LEAL
RYR7087,B738,Valencia,LEVC,Dublin Int'l,EIDW
RYR7111,B738,Liverpool John Lennon,EGGP,Szczecin,EPSC
RYR712,B738,London Stansted,EGSS,Aarhus,EKAH
RYR7329,B738,General Humberto Delgado Airport,LPPT,Dublin Int'l,EIDW
RYR7331,B738,"Kos Island Int'l, Ippokratis (Hippocrates)",LGKO,Vienna Int'l (Schwechat),LOWW
RYR7367,B738,Dublin Int'l,EIDW,Vienna Int'l (Schwechat),LOWW
RYR7383,B738,Copenhagen,EKCH,London Stansted,EGSS
RYR7412,B738,Eindhoven,EHEH,Faro,LPFR
RYR7418,B738,Beauvais Tille,LFOB,Faro,LPFR
